ImageIndex,Date,PixelIndex,Latitude,Longitude,Band1,Band2,Band3,Band4,Fire_binary
438,2021-05,184,-12.50832167913704,-76.68966987868981,891.0,1087.0,1339.0,1736.0,0
438,2021-05,185,-12.50832167913704,-76.6896249629256,908.0,1157.0,1343.0,1677.0,0
438,2021-05,186,-12.50832167913704,-76.6895800471614,959.0,1200.0,1379.0,1612.0,0
438,2021-05,187,-12.50832167913704,-76.6895351313972,966.0,1176.0,1379.0,1548.0,0
438,2021-05,188,-12.50832167913704,-76.68949021563299,946.0,1146.0,1333.0,1500.0,0
438,2021-05,189,-12.50832167913704,-76.68944529986878,923.0,1126.0,1299.0,1466.0,0
438,2021-05,190,-12.50832167913704,-76.68940038410457,909.0,1083.0,1257.0,1425.0,0
438,2021-05,191,-12.50832167913704,-76.68935546834037,865.0,1038.0,1187.0,1302.0,0
438,2021-05,192,-12.50832167913704,-76.68931055257616,844.0,1016.0,1144.0,1267.0,0
438,2021-05,193,-12.50832167913704,-76.68926563681195,830.0,998.0,1103.0,1244.0,0
438,2021-05,194,-12.50832167913704,-76.68922072104775,819.0,978.0,1078.0,1205.0,0
438,2021-05,195,-12.50832167913704,-76.68917580528354,802.0,950.0,1052.0,1157.0,0
438,2021-05,196,-12.50832167913704,-76.68913088951933,788.0,929.0,1037.0,1117.0,0
438,2021-05,197,-12.50832167913704,-76.68908597375513,784.0,928.0,1035.0,1097.0,0
438,2021-05,198,-12.50832167913704,-76.68904105799092,789.0,930.0,1019.0,1092.0,0
438,2021-05,199,-12.50832167913704,-76.68899614222671,776.0,917.0,990.0,1086.0,0
438,2021-05,200,-12.50832167913704,-76.6889512264625,752.0,897.0,968.0,1092.0,0
438,2021-05,201,-12.50832167913704,-76.68890631069831,759.0,895.0,969.0,1118.0,0
438,2021-05,202,-12.50832167913704,-76.68886139493411,771.0,911.0,979.0,1112.0,0
438,2021-05,203,-12.50832167913704,-76.6888164791699,781.0,929.0,983.0,1084.0,0
438,2021-05,204,-12.50832167913704,-76.6887715634057,804.0,936.0,1027.0,1080.0,0
438,2021-05,205,-12.50832167913704,-76.68872664764149,823.0,965.0,1073.0,1130.0,0
438,2021-05,206,-12.50832167913704,-76.68868173187728,831.0,984.0,1088.0,1181.0,0
438,2021-05,207,-12.50832167913704,-76.68863681611307,857.0,993.0,1102.0,1207.0,0
438,2021-05,208,-12.50832167913704,-76.68859190034887,851.0,986.0,1075.0,1205.0,0
438,2021-05,209,-12.50832167913704,-76.68854698458466,834.0,965.0,1032.0,1187.0,0
438,2021-05,210,-12.50832167913704,-76.68850206882045,800.0,943.0,1016.0,1167.0,0
438,2021-05,211,-12.50832167913704,-76.68845715305625,781.0,940.0,998.0,1139.0,0
438,2021-05,212,-12.50832167913704,-76.68841223729204,789.0,955.0,1014.0,1116.0,0
438,2021-05,213,-12.50832167913704,-76.68836732152783,823.0,990.0,1103.0,1177.0,0
438,2021-05,214,-12.50832167913704,-76.68832240576363,841.0,1013.0,1122.0,1238.0,0
438,2021-05,215,-12.50832167913704,-76.68827748999942,864.0,1062.0,1146.0,1279.0,0
438,2021-05,216,-12.50832167913704,-76.68823257423522,885.0,1097.0,1188.0,1319.0,0
438,2021-05,217,-12.50832167913704,-76.68818765847101,904.0,1118.0,1217.0,1366.0,0
438,2021-05,218,-12.50832167913704,-76.6881427427068,915.0,1119.0,1217.0,1389.0,0
438,2021-05,219,-12.50832167913704,-76.6880978269426,915.0,1117.0,1218.0,1408.0,0
438,2021-05,220,-12.50832167913704,-76.68805291117839,930.0,1119.0,1240.0,1429.0,0
438,2021-05,221,-12.50832167913704,-76.68800799541418,924.0,1116.0,1241.0,1421.0,0
438,2021-05,222,-12.50832167913704,-76.68796307964998,910.0,1103.0,1229.0,1410.0,0
438,2021-05,223,-12.50832167913704,-76.68791816388578,917.0,1117.0,1249.0,1408.0,0
438,2021-05,224,-12.50832167913704,-76.68787324812158,929.0,1124.0,1266.0,1409.0,0
